#RawFactor(z),ParFactor(c),dz/dc
IndexCurve/USD-FedFunds/5,DiscountCurve/EUR/0,-0.000000000014
IndexCurve/USD-FedFunds/6,DiscountCurve/EUR/0,0.000000000611
IndexCurve/USD-FedFunds/7,DiscountCurve/EUR/0,0.000000000718
IndexCurve/USD-FedFunds/8,DiscountCurve/EUR/0,0.000000002250
IndexCurve/USD-FedFunds/9,DiscountCurve/EUR/0,0.000000004268
IndexCurve/USD-FedFunds/10,DiscountCurve/EUR/0,0.000000009508
IndexCurve/USD-FedFunds/11,DiscountCurve/EUR/0,0.000000014786
IndexCurve/USD-FedFunds/12,DiscountCurve/EUR/0,0.000000018342
IndexCurve/USD-FedFunds/13,DiscountCurve/EUR/0,0.000000015579
IndexCurve/USD-FedFunds/14,DiscountCurve/EUR/0,0.000000011428
IndexCurve/USD-FedFunds/15,DiscountCurve/EUR/0,0.000000008375
IndexCurve/USD-LIBOR-3M/0,DiscountCurve/EUR/0,0.000000000001
IndexCurve/USD-LIBOR-3M/1,DiscountCurve/EUR/0,-0.000000000001
IndexCurve/USD-LIBOR-3M/2,DiscountCurve/EUR/0,0.000000000003
IndexCurve/USD-LIBOR-3M/3,DiscountCurve/EUR/0,-0.000000000037
IndexCurve/USD-LIBOR-3M/4,DiscountCurve/EUR/0,0.000000000535
IndexCurve/USD-LIBOR-3M/5,DiscountCurve/EUR/0,-0.000000008807
IndexCurve/USD-LIBOR-3M/6,DiscountCurve/EUR/0,-0.000000003210
IndexCurve/USD-LIBOR-3M/7,DiscountCurve/EUR/0,-0.000000000008
IndexCurve/USD-LIBOR-3M/8,DiscountCurve/EUR/0,0.000000002308
IndexCurve/USD-LIBOR-3M/9,DiscountCurve/EUR/0,0.000000005531
IndexCurve/USD-LIBOR-3M/10,DiscountCurve/EUR/0,0.000000011487
IndexCurve/USD-LIBOR-3M/11,DiscountCurve/EUR/0,0.000000017354
IndexCurve/USD-LIBOR-3M/12,DiscountCurve/EUR/0,0.000000019962
IndexCurve/USD-LIBOR-3M/13,DiscountCurve/EUR/0,0.000000017579
IndexCurve/USD-LIBOR-3M/14,DiscountCurve/EUR/0,0.000000013712
IndexCurve/USD-LIBOR-3M/15,DiscountCurve/EUR/0,0.000000010430
IndexCurve/USD-LIBOR-6M/0,DiscountCurve/EUR/0,0.000000000000
IndexCurve/USD-LIBOR-6M/1,DiscountCurve/EUR/0,0.000000000000
IndexCurve/USD-LIBOR-6M/2,DiscountCurve/EUR/0,-0.000000000001
IndexCurve/USD-LIBOR-6M/3,DiscountCurve/EUR/0,0.000000000006
IndexCurve/USD-LIBOR-6M/4,DiscountCurve/EUR/0,-0.000000000091
IndexCurve/USD-LIBOR-6M/5,DiscountCurve/EUR/0,0.000000001493
IndexCurve/USD-LIBOR-6M/6,DiscountCurve/EUR/0,-0.000000001193
IndexCurve/USD-LIBOR-6M/7,DiscountCurve/EUR/0,0.000000000670
IndexCurve/USD-LIBOR-6M/8,DiscountCurve/EUR/0,0.000000002780
IndexCurve/USD-LIBOR-6M/9,DiscountCurve/EUR/0,0.000000005805
IndexCurve/USD-LIBOR-6M/10,DiscountCurve/EUR/0,0.000000011865
IndexCurve/USD-LIBOR-6M/11,DiscountCurve/EUR/0,0.000000016639
IndexCurve/USD-LIBOR-6M/12,DiscountCurve/EUR/0,0.000000018904
IndexCurve/USD-LIBOR-6M/13,DiscountCurve/EUR/0,0.000000016053
IndexCurve/USD-LIBOR-6M/14,DiscountCurve/EUR/0,0.000000011946
IndexCurve/USD-LIBOR-6M/15,DiscountCurve/EUR/0,0.000000008580
SurvivalProbability/CPTY_1/0,DiscountCurve/EUR/0,0.000100338968
SurvivalProbability/CPTY_1/1,DiscountCurve/EUR/0,0.000032893975
SurvivalProbability/CPTY_1/2,DiscountCurve/EUR/0,0.000018995119
SurvivalProbability/CPTY_1/3,DiscountCurve/EUR/0,0.000012418082
SurvivalProbability/CPTY_1/4,DiscountCurve/EUR/0,0.000009343967
SurvivalProbability/CPTY_1/5,DiscountCurve/EUR/0,0.000007468525
SurvivalProbability/CPTY_1/6,DiscountCurve/EUR/0,0.000005337179
SurvivalProbability/CPTY_1/7,DiscountCurve/EUR/0,0.000003736430
SurvivalProbability/CPTY_1/8,DiscountCurve/EUR/0,0.000003113898
SurvivalProbability/CPTY_1/9,DiscountCurve/EUR/0,0.000002492021
SurvivalProbability/CPTY_1/10,DiscountCurve/EUR/0,0.000001869561
SurvivalProbability/CPTY_2/0,DiscountCurve/EUR/0,0.000100338968
SurvivalProbability/CPTY_2/1,DiscountCurve/EUR/0,0.000032893975
SurvivalProbability/CPTY_2/2,DiscountCurve/EUR/0,0.000018995119
SurvivalProbability/CPTY_2/3,DiscountCurve/EUR/0,0.000012418082
SurvivalProbability/CPTY_2/4,DiscountCurve/EUR/0,0.000009343967
SurvivalProbability/CPTY_2/5,DiscountCurve/EUR/0,0.000007468525
SurvivalProbability/CPTY_2/6,DiscountCurve/EUR/0,0.000005337179
SurvivalProbability/CPTY_2/7,DiscountCurve/EUR/0,0.000003736430
SurvivalProbability/CPTY_2/8,DiscountCurve/EUR/0,0.000003113898
SurvivalProbability/CPTY_2/9,DiscountCurve/EUR/0,0.000002492021
SurvivalProbability/CPTY_2/10,DiscountCurve/EUR/0,0.000001869561
SurvivalProbability/CPTY_3/0,DiscountCurve/EUR/0,0.000100338968
SurvivalProbability/CPTY_3/1,DiscountCurve/EUR/0,0.000032893975
SurvivalProbability/CPTY_3/2,DiscountCurve/EUR/0,0.000018995119
SurvivalProbability/CPTY_3/3,DiscountCurve/EUR/0,0.000012418082
SurvivalProbability/CPTY_3/4,DiscountCurve/EUR/0,0.000009343967
SurvivalProbability/CPTY_3/5,DiscountCurve/EUR/0,0.000007468525
SurvivalProbability/CPTY_3/6,DiscountCurve/EUR/0,0.000005337179
SurvivalProbability/CPTY_3/7,DiscountCurve/EUR/0,0.000003736430
SurvivalProbability/CPTY_3/8,DiscountCurve/EUR/0,0.000003113898
SurvivalProbability/CPTY_3/9,DiscountCurve/EUR/0,0.000002492021
SurvivalProbability/CPTY_3/10,DiscountCurve/EUR/0,0.000001869561
YoYInflationCurve/EUHICPXT/1,DiscountCurve/EUR/0,0.000000000000
YoYInflationCurve/EUHICPXT/2,DiscountCurve/EUR/0,0.000000000676
YoYInflationCurve/EUHICPXT/3,DiscountCurve/EUR/0,0.000000000840
YoYInflationCurve/EUHICPXT/4,DiscountCurve/EUR/0,0.000000000800
YoYInflationCurve/EUHICPXT/5,DiscountCurve/EUR/0,0.000000000965
YoYInflationCurve/EUHICPXT/6,DiscountCurve/EUR/0,0.000000004786
YoYInflationCurve/EUHICPXT/7,DiscountCurve/EUR/0,0.000000007269
YoYInflationCurve/EUHICPXT/8,DiscountCurve/EUR/0,0.000000015206
YoYInflationCurve/EUHICPXT/9,DiscountCurve/EUR/0,0.000000017959
